Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Genomic Location (Transcript)	Genomic Sequence ID	Chromosome
LmjF.10.0850	LmjF.10.0850:mRNA	Leishmania major strain Friedlin	LmjF.10:402,859..403,233(-)	nuclear transport factor 2, putative	LmjF.10:402859..403233(-)	LmjF.10	10
LmxM.10.0850	LmxM.10.0850.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.10:359,725..360,099(-)	nuclear transport factor 2, putative	LmxM.10:359725..360099(-)	LmxM.10	10
LmjF.22.1370	LmjF.22.1370:mRNA	Leishmania major strain Friedlin	LmjF.22:574,964..576,754(-)	intraflagellar transport protein-like protein	LmjF.22:574964..576754(-)	LmjF.22	22
LmxM.22.1370	LmxM.22.1370.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.22:567,256..568,866(-)	intraflagellar transport protein-like protein	LmxM.22:567256..568866(-)	LmxM.22	22
LmxM.33.0230	LmxM.33.0230.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.33:78,026..80,185(+)	intraflagellar transport protein 81, putative	LmxM.33:78026..80185(+)	LmxM.33	33
LmjF.15.0760	LmjF.15.0760:mRNA	Leishmania major strain Friedlin	LmjF.15:335,756..343,831(-)	ATP-binding cassette protein subfamily A, member 7, putative	LmjF.15:335756..343831(-)	LmjF.15	15
LmxM.15.0760	LmxM.15.0760.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.15:298,641..306,680(-)	ABC1 transporter-like protein	LmxM.15:298641..306680(-)	LmxM.15	15
LmxM.11.1220	LmxM.11.1220.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.11:474,017..479,076(+)	ATP-binding cassette protein subfamily A, member 2, putative	LmxM.11:474017..479076(+)	LmxM.11	11
LmxM.11.1250	LmxM.11.1250.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.11:493,829..500,117(+)	ATP-binding cassette protein subfamily A, member 4, putative	LmxM.11:493829..500117(+)	LmxM.11	11
LmjF.11.1240	LmjF.11.1240:mRNA	Leishmania major strain Friedlin	LmjF.11:510,352..516,078(+)	ATP-binding cassette protein subfamily A, member 3, putative	LmjF.11:510352..516078(+)	LmjF.11	11
LmjF.29.0220	LmjF.29.0220:mRNA	Leishmania major strain Friedlin	LmjF.29:74,726..77,626(-)	protein transport protein Sec24A, putative	LmjF.29:74726..77626(-)	LmjF.29	29
LmjF.19.0330	LmjF.19.0330:mRNA	Leishmania major strain Friedlin	LmjF.19:119,552..121,906(+)	intraflagellar transport protein 80, putative	LmjF.19:119552..121906(+)	LmjF.19	19
LmxM.19.0330	LmxM.19.0330.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.19:123,601..125,955(+)	intraflagellar transport protein 80, putative	LmxM.19:123601..125955(+)	LmxM.19	19
LmjF.30.1770	LmjF.30.1770:mRNA	Leishmania major strain Friedlin	LmjF.30:644,035..645,408(+)	Intraflagellar transport complex B protein 46 C terminal, putative	LmjF.30:644035..645408(+)	LmjF.30	30
LmxM.29.1770	LmxM.29.1770.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.29:595,192..596,280(+)	Intraflagellar transport complex B protein 46 C terminal, putative	LmxM.29:595192..596280(+)	LmxM.29	29
LmxM.33.2450	LmxM.33.2450.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.33:890,337..895,952(-)	Sec7 domain containing protein, putative	LmxM.33:890337..895952(-)	LmxM.33	33
LmxM.03.0610	LmxM.03.0610.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.03:217,445..218,437(+)	kinase-like protein	LmxM.03:217445..218437(+)	LmxM.03	3
LmjF.32.1100	LmjF.32.1100:mRNA	Leishmania major strain Friedlin	LmjF.32:432,779..435,892(+)	exportin 1, putative	LmjF.32:432779..435892(+)	LmjF.32	32
LmxM.31.1100	LmxM.31.1100.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.31:426,236..429,349(+)	exportin 1, putative	LmxM.31:426236..429349(+)	LmxM.31	31
LmjF.03.0610	LmjF.03.0610:mRNA	Leishmania major strain Friedlin	LmjF.03:226,459..227,508(+)	kinase-like protein	LmjF.03:226459..227508(+)	LmjF.03	3
LmjF.16.1400	LmjF.16.1400:mRNA	Leishmania major strain Friedlin	LmjF.16:581,736..582,326(-)	trafficking protein particle complex subunit- like protein	LmjF.16:581736..582326(-)	LmjF.16	16
LmxM.16.1400	LmxM.16.1400.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.16:562,552..563,142(-)	trafficking protein particle complex subunit- like protein	LmxM.16:562552..563142(-)	LmxM.16	16
LmjF.36.3420	LmjF.36.3420:mRNA	Leishmania major strain Friedlin	LmjF.36:1,340,104..1,341,189(-)	vacuolar protein sorting-associated protein-like protein	LmjF.36:1340104..1341189(-)	LmjF.36	36
LmjF.35.4630	LmjF.35.4630:mRNA	Leishmania major strain Friedlin	LmjF.35:1,837,186..1,838,661(+)	chaperone protein DnaJ, putative	LmjF.35:1837186..1838661(+)	LmjF.35	35
LmxM.34.4630	LmxM.34.4630.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.34:1,718,582..1,720,060(+)	chaperone protein DnaJ, putative	LmxM.34:1718582..1720060(+)	LmxM.34	34
LmxM.36.3420	LmxM.36.3420.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.20:1,322,254..1,323,339(-)	vacuolar protein sorting-associated protein-like protein	LmxM.20:1322254..1323339(-)	LmxM.20	20
LmjF.21.0470	LmjF.21.0470:mRNA	Leishmania major strain Friedlin	LmjF.21:149,331..152,366(+)	vacuolar sorting-associated-like protein	LmjF.21:149331..152366(+)	LmjF.21	21
LmjF.29.2500	LmjF.29.2500:mRNA	Leishmania major strain Friedlin	LmjF.29:1,083,192..1,084,529(+)	vacuolar protein sorting-associated protein 4	LmjF.29:1083192..1084529(+)	LmjF.29	29
LmxM.08_29.2500	LmxM.08_29.2500.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.08:118,579..119,916(-)	vacuolar protein sorting-associated protein 4	LmxM.08:118579..119916(-)	LmxM.08	8
LmxM.21.0470	LmxM.21.0470.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.21:140,283..143,330(+)	vacuolar sorting-associated-like protein	LmxM.21:140283..143330(+)	LmxM.21	21
LmjF.34.3350	LmjF.34.3350:mRNA	Leishmania major strain Friedlin	LmjF.34:1,476,310..1,477,920(+)	ATPase-like protein	LmjF.34:1476310..1477920(+)	LmjF.34	34
LmxM.33.3350	LmxM.33.3350.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.33:1,281,303..1,282,916(+)	ATPase-like protein	LmxM.33:1281303..1282916(+)	LmxM.33	33
LmjF.36.5170	LmjF.36.5170:mRNA	Leishmania major strain Friedlin	LmjF.36:1,992,696..1,993,325(-)	vacuolar protein sorting-associated protein-like protein	LmjF.36:1992696..1993325(-)	LmjF.36	36
LmxM.36.5170	LmxM.36.5170.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.20:1,964,771..1,965,400(-)	vacuolar protein sorting-associated protein-like protein	LmxM.20:1964771..1965400(-)	LmxM.20	20
LmjF.32.1050	LmjF.32.1050:mRNA	Leishmania major strain Friedlin	LmjF.32:416,338..416,952(+)	vacuolar sorting-like protein	LmjF.32:416338..416952(+)	LmjF.32	32
LmxM.31.1050	LmxM.31.1050.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.31:409,810..410,427(+)	vacuolar sorting-like protein	LmxM.31:409810..410427(+)	LmxM.31	31
LmxM.21.1690	LmxM.21.1690.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.21:694,835..695,590(-)	Protein of unknown function, DUF607, putative	LmxM.21:694835..695590(-)	LmxM.21	21
LmjF.13.0670	LmjF.13.0670:mRNA	Leishmania major strain Friedlin	LmjF.13:217,383..218,918(+)	mannose-specific lectin, putative	LmjF.13:217383..218918(+)	LmjF.13	13
LmxM.13.0670	LmxM.13.0670.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.13:193,103..194,446(+)	mannose-specific lectin, putative	LmxM.13:193103..194446(+)	LmxM.13	13
LmjF.26.2630	LmjF.26.2630:mRNA	Leishmania major strain Friedlin	LmjF.26:1,056,017..1,056,259(+)	CSL zinc finger, putative	LmjF.26:1056017..1056259(+)	LmjF.26	26
LmxM.26.2630	LmxM.26.2630.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.26:994,091..994,333(+)	CSL zinc finger, putative	LmxM.26:994091..994333(+)	LmxM.26	26
LmjF.09.1260	LmjF.09.1260:mRNA	Leishmania major strain Friedlin	LmjF.09:493,665..495,614(-)	Bromodomain factor 5, putative	LmjF.09:493665..495614(-)	LmjF.09	9
LmxM.09.1260	LmxM.09.1260.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.09:468,234..470,192(-)	Bromodomain factor 5	LmxM.09:468234..470192(-)	LmxM.09	9
LmjF.07.0680	LmjF.07.0680:mRNA	Leishmania major strain Friedlin	LmjF.07:311,980..312,552(+)	40S ribosomal protein S9, putative	LmjF.07:311980..312552(+)	LmjF.07	7
LmjF.36.1250	LmjF.36.1250:mRNA	Leishmania major strain Friedlin	LmjF.36:461,147..461,719(+)	40S ribosomal protein S9, putative	LmjF.36:461147..461719(+)	LmjF.36	36
LmxM.07.0680	LmxM.07.0680.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.07:298,560..299,129(+)	40S ribosomal protein S9, putative	LmxM.07:298560..299129(+)	LmxM.07	7
LmxM.36.1250	LmxM.36.1250.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.20:454,638..455,207(+)	40S ribosomal protein S9, putative	LmxM.20:454638..455207(+)	LmxM.20	20
LmjF.01.0610	LmjF.01.0610:mRNA	Leishmania major strain Friedlin	LmjF.01:171,562..172,734(+)	DNA-damage inducible protein DDI1-like protein	LmjF.01:171562..172734(+)	LmjF.01	1
LmxM.01.0610	LmxM.01.0610.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.01:171,360..172,091(+)	DNA-damage inducible protein DDI1-like protein	LmxM.01:171360..172091(+)	LmxM.01	1
LmjF.23.0200	LmjF.23.0200:mRNA	Leishmania major strain Friedlin	LmjF.23:61,657..62,148(+)	endoribonuclease L-PSP (pb5), putative	LmjF.23:61657..62148(+)	LmjF.23	23
LmxM.23.0200	LmxM.23.0200.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.23:60,725..61,216(+)	endoribonuclease L-PSP (pb5), putative	LmxM.23:60725..61216(+)	LmxM.23	23
LmjF.18.0830	LmjF.18.0830:mRNA	Leishmania major strain Friedlin	LmjF.18:344,117..346,945(+)	Periodic tryptophan protein 2 homolog, putative	LmjF.18:344117..346945(+)	LmjF.18	18
LmxM.18.0830	LmxM.18.0830.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.18:331,859..334,687(+)	Periodic tryptophan protein 2 homolog, putative	LmxM.18:331859..334687(+)	LmxM.18	18
LmjF.05.0740	LmjF.05.0740:mRNA	Leishmania major strain Friedlin	LmjF.05:274,178..275,275(+)	Vta1 like, putative	LmjF.05:274178..275275(+)	LmjF.05	5
LmxM.05.0740	LmxM.05.0740.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.05:278,430..279,533(+)	Vta1 like, putative	LmxM.05:278430..279533(+)	LmxM.05	5
LmjF.32.3810	LmjF.32.3810:mRNA	Leishmania major strain Friedlin	LmjF.32:1,529,545..1,531,287(+)	SHQ1 protein, putative	LmjF.32:1529545..1531287(+)	LmjF.32	32
LmjF.13.0960	LmjF.13.0960:mRNA	Leishmania major strain Friedlin	LmjF.13:327,191..328,888(-)	katanin-like protein	LmjF.13:327191..328888(-)	LmjF.13	13
LmjF.05.0060	LmjF.05.0060:mRNA	Leishmania major strain Friedlin	LmjF.05:18,037..20,538(+)	major vault protein, putative	LmjF.05:18037..20538(+)	LmjF.05	5
LmjF.07.1055	LmjF.07.1055:mRNA	Leishmania major strain Friedlin	LmjF.07:543,940..544,278(+)	Dpy-30 motif containing protein, putative	LmjF.07:543940..544278(+)	LmjF.07	7
LmjF.14.1190	LmjF.14.1190:mRNA	Leishmania major strain Friedlin	LmjF.14:513,479..515,161(+)	Bifunctional NAD(P)H-hydrate repair enzyme	LmjF.14:513479..515161(+)	LmjF.14	14
LmjF.21.0200	LmjF.21.0200:mRNA	Leishmania major strain Friedlin	LmjF.21:71,752..74,634(+)	major vault protein-like protein	LmjF.21:71752..74634(+)	LmjF.21	21
LmjF.21.0540	LmjF.21.0540:mRNA	Leishmania major strain Friedlin	LmjF.21:172,095..173,114(-)	Lupus La protein homolog, putative	LmjF.21:172095..173114(-)	LmjF.21	21
LmjF.26.1970	LmjF.26.1970:mRNA	Leishmania major strain Friedlin	LmjF.26:779,941..781,239(+)	electon transport protein SCO1/SCO2, putative	LmjF.26:779941..781239(+)	LmjF.26	26
LmjF.31.1750	LmjF.31.1750:mRNA	Leishmania major strain Friedlin	LmjF.31:816,685..817,911(-)	nucleosome assembly protein-like protein	LmjF.31:816685..817911(-)	LmjF.31	31
LmjF.34.0940	LmjF.34.0940:mRNA	Leishmania major strain Friedlin	LmjF.34:403,381..406,386(+)	Wee1-like protein kinase, putative	LmjF.34:403381..406386(+)	LmjF.34	34
LmjF.35.1030	LmjF.35.1030:mRNA	Leishmania major strain Friedlin	LmjF.35:472,463..473,116(+)	zinc finger protein family member, putative	LmjF.35:472463..473116(+)	LmjF.35	35
LmjF.36.1870	LmjF.36.1870:mRNA	Leishmania major strain Friedlin	LmjF.36:740,006..742,636(-)	major vault protein, putative	LmjF.36:740006..742636(-)	LmjF.36	36
LmxM.05.0060	LmxM.05.0060.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.05:18,567..21,068(+)	major vault protein, putative	LmxM.05:18567..21068(+)	LmxM.05	5
LmxM.07.1055	LmxM.07.1055.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.07:518,797..519,135(+)	Dpy-30 motif containing protein, putative	LmxM.07:518797..519135(+)	LmxM.07	7
LmxM.14.1190	LmxM.14.1190.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.14:505,241..506,911(+)	Bifunctional NAD(P)H-hydrate repair enzyme	LmxM.14:505241..506911(+)	LmxM.14	14
LmxM.21.0200	LmxM.21.0200.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.21:64,460..67,339(+)	major vault protein-like protein	LmxM.21:64460..67339(+)	LmxM.21	21
LmxM.21.0540	LmxM.21.0540.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.21:161,945..162,964(-)	Lupus La protein homolog, putative	LmxM.21:161945..162964(-)	LmxM.21	21
LmxM.26.1970	LmxM.26.1970.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.26:720,167..721,027(+)	electon transport protein SCO1/SCO2, putative	LmxM.26:720167..721027(+)	LmxM.26	26
LmxM.30.1750	LmxM.30.1750.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.30:806,429..807,652(-)	nucleosome assembly protein-like protein	LmxM.30:806429..807652(-)	LmxM.30	30
LmxM.34.1030	LmxM.34.1030.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.34:391,693..392,346(+)	zinc finger protein family member, putative	LmxM.34:391693..392346(+)	LmxM.34	34
LmxM.36.1870	LmxM.36.1870.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.20:728,393..731,023(-)	hypothetical protein, conserved	LmxM.20:728393..731023(-)	LmxM.20	20
LmjF.30.3580	LmjF.30.3580:mRNA	Leishmania major strain Friedlin	LmjF.30:1,352,023..1,354,266(+)	serine/arginine-rich protein specific kinase SRPK, putative	LmjF.30:1352023..1354266(+)	LmjF.30	30
LmxM.29.3580	LmxM.29.3580.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.29:1,276,641..1,278,887(+)	serine/threonine-protein kinase, putative	LmxM.29:1276641..1278887(+)	LmxM.29	29
LmxM.10.0110	LmxM.10.0110.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.10:30,150..31,322(+)	hypothetical protein, conserved	LmxM.10:30150..31322(+)	LmxM.10	10
LmjF.19.1630	LmjF.19.1630:mRNA	Leishmania major strain Friedlin	LmjF.19:687,260..687,637(+)	ATG8/AUT7/APG8/PAZ2, putative	LmjF.19:687260..687637(+)	LmjF.19	19
LmxM.19.1630	LmxM.19.1630.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.19:641,056..641,433(+)	ATG8/AUT7/APG8/PAZ2, putative	LmxM.19:641056..641433(+)	LmxM.19	19
LmjF.26.0980	LmjF.26.0980:mRNA	Leishmania major strain Friedlin	LmjF.26:292,344..296,492(-)	CMGC/SRPK protein kinase, putative	LmjF.26:292344..296492(-)	LmjF.26	26
LmxM.26.0980	LmxM.26.0980.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.26:276,100..280,053(-)	protein kinase, putative	LmxM.26:276100..280053(-)	LmxM.26	26
LmjF.29.1350	LmjF.29.1350:mRNA	Leishmania major strain Friedlin	LmjF.29:565,295..568,057(+)	RNA binding protein, putative	LmjF.29:565295..568057(+)	LmjF.29	29
LmjF.01.0750	LmjF.01.0750:mRNA	Leishmania major strain Friedlin	LmjF.01:227,560..231,813(+)	CMGC family protein kinase, putative	LmjF.01:227560..231813(+)	LmjF.01	1
LmxM.01.0750	LmxM.01.0750.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.01:225,679..229,866(+)	CMGC family protein kinase, putative	LmxM.01:225679..229866(+)	LmxM.01	1
LmjF.04.1130	LmjF.04.1130:mRNA	Leishmania major strain Friedlin	LmjF.04:421,926..422,858(-)	cytochrome c oxidase assembly factor, putative	LmjF.04:421926..422858(-)	LmjF.04	4
LmjF.09.0400	LmjF.09.0400:mRNA	Leishmania major strain Friedlin	LmjF.09:164,087..165,496(+)	kinetoplastid kinetochore protein 10, putative	LmjF.09:164087..165496(+)	LmjF.09	9
LmjF.09.0410	LmjF.09.0410:mRNA	Leishmania major strain Friedlin	LmjF.09:168,197..169,624(+)	kinetoplastid kinetochore protein 19, putative	LmjF.09:168197..169624(+)	LmjF.09	9
LmjF.19.0390	LmjF.19.0390:mRNA	Leishmania major strain Friedlin	LmjF.19:157,261..157,716(+)	40S ribosomal protein S13, putative	LmjF.19:157261..157716(+)	LmjF.19	19
LmjF.26.0660	LmjF.26.0660:mRNA	Leishmania major strain Friedlin	LmjF.26:184,073..185,206(-)	protein disulfide isomerase, putative	LmjF.26:184073..185206(-)	LmjF.26	26
LmjF.28.1190	LmjF.28.1190:mRNA	Leishmania major strain Friedlin	LmjF.28:448,563..450,089(+)	copine i-like protein	LmjF.28:448563..450089(+)	LmjF.28	28
LmjF.30.1300	LmjF.30.1300:mRNA	Leishmania major strain Friedlin	LmjF.30:448,727..453,184(+)	SNF2 family N-terminal domain/Helicase conserved C-terminal domain containing protein, putative	LmjF.30:448727..453184(+)	LmjF.30	30
LmjF.32.1370	LmjF.32.1370:mRNA	Leishmania major strain Friedlin	LmjF.32:534,245..536,617(+)	G5-interacting protein, putative	LmjF.32:534245..536617(+)	LmjF.32	32
LmjF.33.3150	LmjF.33.3150:mRNA	Leishmania major strain Friedlin	LmjF.33:1,542,920..1,543,375(+)	40S ribosomal protein S13, putative	LmjF.33:1542920..1543375(+)	LmjF.33	33
LmxM.04.1130	LmxM.04.1130.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.04:389,832..390,722(-)	cytochrome c oxidase assembly factor, putative	LmxM.04:389832..390722(-)	LmxM.04	4
LmxM.09.0400	LmxM.09.0400.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.09:146,140..147,408(+)	kinetoplastid kinetochore protein 10, putative	LmxM.09:146140..147408(+)	LmxM.09	9
LmxM.09.0410	LmxM.09.0410.1	Leishmania mexicana MHOM/GT/2001/U1103	1036_mexFOS1_13k16.p1kpIBF_47:1,605..2,855(+)	kinetoplastid kinetochore protein 19, putative	1036_mexFOS1_13k16.p1kpIBF_47:1605..2855(+)	1036_mexFOS1_13k16.p1kpIBF_47	Not Assigned
LmxM.19.0390	LmxM.19.0390.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.19:160,420..160,875(+)	40S ribosomal protein S13, putative	LmxM.19:160420..160875(+)	LmxM.19	19
LmxM.26.0660	LmxM.26.0660.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.26:173,083..174,222(-)	protein disulfide isomerase, putative	LmxM.26:173083..174222(-)	LmxM.26	26
LmxM.28.1190	LmxM.28.1190.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.28:438,386..439,912(+)	copine i-like protein	LmxM.28:438386..439912(+)	LmxM.28	28
LmxM.29.1300	LmxM.29.1300.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.29:439,841..443,539(+)	SNF2 family N-terminal domain/Helicase conserved C-terminal domain containing protein, putative	LmxM.29:439841..443539(+)	LmxM.29	29
LmxM.32.3150	LmxM.32.3150.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.32:1,372,897..1,373,352(+)	40S ribosomal protein S13, putative	LmxM.32:1372897..1373352(+)	LmxM.32	32
LmjF.31.0860	LmjF.31.0860:mRNA	Leishmania major strain Friedlin	LmjF.31:315,900..317,732(-)	ras-like small GTPases, putative	LmjF.31:315900..317732(-)	LmjF.31	31
LmxM.20.1650	LmxM.20.1650.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.20:3,296,285..3,296,710(-)	ribosomal protein S11 homolog	LmxM.20:3296285..3296710(-)	LmxM.20	20
LmxM.21.1550	LmxM.21.1550.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.21:608,419..608,844(-)	40S ribosomal protein S11, putative	LmxM.21:608419..608844(-)	LmxM.21	21
LmxM.30.0860	LmxM.30.0860.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.30:324,259..326,091(-)	ras-like small GTPases, putative	LmxM.30:324259..326091(-)	LmxM.30	30
LmjF.24.1840	LmjF.24.1840:mRNA	Leishmania major strain Friedlin	LmjF.24:677,392..678,228(-)	lysophospholipase, putative	LmjF.24:677392..678228(-)	LmjF.24	24
LmxM.24.1840	LmxM.24.1840.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.24:681,434..682,270(-)	lysophospholipase, putative	LmxM.24:681434..682270(-)	LmxM.24	24
LmjF.15.1380	LmjF.15.1380:mRNA	Leishmania major strain Friedlin	LmjF.15:571,791..573,599(-)	nucleolar RNA binding protein, putative	LmjF.15:571791..573599(-)	LmjF.15	15
LmjF.36.3210	LmjF.36.3210:mRNA	Leishmania major strain Friedlin	LmjF.36:1,283,014..1,283,790(-)	14-3-3 protein 1, putative	LmjF.36:1283014..1283790(-)	LmjF.36	36
LmjF.36.6940	LmjF.36.6940:mRNA	Leishmania major strain Friedlin	LmjF.36:2,662,351..2,663,784(-)	protein disulfide isomerase 2	LmjF.36:2662351..2663784(-)	LmjF.36	36
LmxM.15.1380	LmxM.15.1380.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.15:512,782..514,125(-)	nucleolar RNA binding protein, putative	LmxM.15:512782..514125(-)	LmxM.15	15
LmxM.31.0210	LmxM.31.0210.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.31:64,561..66,153(-)	Histone chaperone Rttp106-like, putative	LmxM.31:64561..66153(-)	LmxM.31	31
LmxM.36.3210	LmxM.36.3210.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.20:1,265,465..1,266,241(-)	14-3-3 protein 1, putative	LmxM.20:1265465..1266241(-)	LmxM.20	20
LmjF.16.0830	LmjF.16.0830:mRNA	Leishmania major strain Friedlin	LmjF.16:309,788..310,705(-)	Iron-sulfur assembly protein 1, putative	LmjF.16:309788..310705(-)	LmjF.16	16
